,Unnamed: 0,sample1,sample2,score
30,30,"['it became difficult to provide housing for all the workers', 'rivers became filled with toxic soil', 'coal and other fuel had to be transported into the area', 'the heap roasting process had to be completed far from the mines']","['an ancient lake located in the american southwest', 'a desert that once connected two continents', 'sands carried by a river from the appalachian mountains', 'a nearby mountain range that had flattened out over time']",0
31,31,"['both could help identify a location relative to the equator', 'both seem to have been used to determine the positioning of stone canoes', 'both were first developed by the vikings', 'both were used as calendars to help keep track of the seasons']","['an ancient lake located in the american southwest', 'a desert that once connected two continents', 'sands carried by a river from the appalachian mountains', 'a nearby mountain range that had flattened out over time']",0
32,32,"['it can be performed outside a laboratory', 'it can now be done more efficiently', 'it no longer involves radioactive elements', 'it can be used in fields other than geology']","['they supplied an additional food source for gypsy moths', 'they introduced gypsy moths to areas where there had been none', 'they cleared oak trees from some areas where both animal species lived', 'they manipulated the numbers of mice and acorns in some areas']",0
33,33,"['it can be performed outside a laboratory', 'it can now be done more efficiently', 'it no longer involves radioactive elements', 'it can be used in fields other than geology']","['writers should know their characters as well as they know their friends', 'writers should create characters that interact in complex ways', 'friends do not always behave the way we expect them to behave', ""friends'sbehavior is often more predictable than fictional characters'sbehavior""]",0
34,34,"['to give another example of how uranium lead dating might be useful', 'to explain how the grand canyon was formed', 'to demonstrate how difficult uranium lead dating is', ""to disprove a theory about the age of earth's first mountain ranges""]","['young children do not develop the capacity for recall until after age 3', ""piaget's theory linking language development to memory was incorrect"", 'young children typically remember events for about nine months', 'the formation of memories is dependent upon language development']",0
35,35,"['to give another example of how uranium lead dating might be useful', 'to explain how the grand canyon was formed', 'to demonstrate how difficult uranium lead dating is', ""to disprove a theory about the age of earth's first mountain ranges""]","['extreme heat', 'extreme pressure', 'fast currents', 'lack of minerals']",0
36,36,"['she thinks it is a good guess , but only a guess', 'she thinks some evidence supports it , but other evidence contradicts it', 'she thinks that further excavations will soon disprove it', 'she thinks that it is not appropriate to make such guesses about the distant past']","['to find out how often the club meets', 'to inform her that the date of the next meeting has changed', 'to complain that not enough people are reading their poems', 'to encourage her to attend']",0
37,37,"['she thinks it is a good guess , but only a guess', 'she thinks some evidence supports it , but other evidence contradicts it', 'she thinks that further excavations will soon disprove it', 'she thinks that it is not appropriate to make such guesses about the distant past']","['the techniques and materials used for the cleanup were probably outdated', 'some attempts to clean up the copper basin have made the problems worse', 'it is not surprising that cleaning up the area has been extremely difficult', 'the cleanup has taken longer than necessary']",0.5
38,38,"['he had to have volunteered previously at the aquarium', 'he had to be certified in scuba diving', 'he had to be a senior oceanography student', 'he had to have experience collecting oceanographic data']","['it was clearly important to the catalhoyuk religion', 'it became covered with soot', 'it often shows farmers at work', 'its significance is unknown']",0
39,39,"['it was clearly important to the catalhoyuk religion', 'it became covered with soot', 'it often shows farmers at work', 'its significance is unknown']","['many dinosaurs died before they became adults', 'male dinosaurs produced a spongy layer of bone', 'male dinosaurs probably took care of the eggs', 'female dinosaurs seldom went far from their nests']",0
40,40,"['they imitate another kind of animal', 'they fly in circles around their nest', 'they cover their nest with their wings', 'they pretend they are sick or injured']","['art in the neolithic period', 'the site of a neolithic town', 'methods of making stone tools', 'the domestication of plants and animals by early farmers']",0
41,41,"['art in the neolithic period', 'the site of a neolithic town', 'methods of making stone tools', 'the domestication of plants and animals by early farmers']","['it fills a gap in the fossil evidence for whale evolution', 'it has become less significant since the discovery of basilosaurus', 'it call into doubt the theory that whale evolved from land mammals', 'it suggests that whales evolved more recently than was previously believed']",0
42,42,"['they were made of stone that came from catalhoyuk', 'they were among the sharpest tools available at the time', 'they were often used in religious rituals', 'they were used primarily for agriculture']","['an action people make that they are not aware of', 'that behaviorists are not really scientists', 'how psychologists study children', 'a method for remembering locations']",0
43,43,"['they were made of stone that came from catalhoyuk', 'they were among the sharpest tools available at the time', 'they were often used in religious rituals', 'they were used primarily for agriculture']","['recent advances in technology used by astronomers', 'how radio astronomy has led to advances in communication technology', 'important discoveries made by radio astronomers', 'difficulties astronomers have in observing the universe']",0
44,44,"['help her determine details for a research budget', 'assist her with her graduate school inquiry', 'talk to her about ways of expanding her project', 'write a letter of recommendation for her']","['they were in the roof', 'they were usually kept closed', 'they allowed smoke to escape from the house', 'they stood opposite one another across narrow streets']",0
45,45,"['recent advances in technology used by astronomers', 'how radio astronomy has led to advances in communication technology', 'important discoveries made by radio astronomers', 'difficulties astronomers have in observing the universe']","['they were in the roof', 'they were usually kept closed', 'they allowed smoke to escape from the house', 'they stood opposite one another across narrow streets']",0
46,46,"['sediment on the ocean floor contains more nitrogen than phosphorus', 'the atmosphere contains more nitrogen than phosphorus', 'nitrogen requires more time to get recycled than phosphorus does', 'phosphorus is more important than nitrogen to the development of fish']","['the graves contained precious stones', 'many people were buried in each grave', 'the grave were located under the house floors', 'the graves contained ashes rather than bones']",0
47,47,"['she finds the study interesting but is not convinced that prairie dogs can communicate', 'she thinks that some claims made by the researchers are not supported by their findings', 'she sees the study as proof that mammals other than humans possess a form of language', 'she thinks the researchers misinterpreted the high pitched barks as warming signals']","['the graves contained precious stones', 'many people were buried in each grave', 'the grave were located under the house floors', 'the graves contained ashes rather than bones']",0
48,48,"['the types of habitats marmots prefer', 'methods of observing marmot behavior', 'feeding habits of some marmot species', 'differences in behavior between marmot species']","['the population reached 1 billion', 'the anthropocene epoch was first described', ""industrialization began to influence earth's environment"", 'there was a significant change in the amount of sediment deposited around the world']",0
49,49,"['the types of habitats marmots prefer', 'methods of observing marmot behavior', 'feeding habits of some marmot species', 'differences in behavior between marmot species']","['by showing the dolphin two patterns that were similar in density', 'by playing two sounds that became progressively closer in pitch', ""by producing sounds that were just within the dolphins' range of hearing"", 'by introducing a third paddle that ended on trial an began a new one']",0
50,50,"['they do not hide from humans', 'they reside in many regions throughout north america', 'they are active in open areas during the day', 'their burrows are easy to locate']","['it is more long lasting than paper', 'it was inexpensive to produce during the middle ages', 'it was the material archimedes used for his writings', 'its use for books decreased after the 1400s']",0
51,51,"['they do not hide from humans', 'they reside in many regions throughout north america', 'they are active in open areas during the day', 'their burrows are easy to locate']","[""it is significant because it contains what may be archimedes'smost important work"", 'it is significant because it proves that a certain mathematics text was written by archimedes', 'it is significant because it is the oldest one ever discovered', 'it is significant because it is the first one to be completely deciphered']",0
52,52,"['type of food available', 'the size of the population', 'interaction with other marmot species', 'adaptations to the climate']","['to discuss the latest trends in the photography shows', 'to find out why some of her work was not selected for a show', 'to discuss how to get her photographs exhibited', 'to find out about a student photography show on campus']",0
53,53,"['type of food available', 'the size of the population', 'interaction with other marmot species', 'adaptations to the climate']","['all modern whales descend from sperm whales', 'differences among toothed whales are less significant that was previously thought', 'not all toothed whales are closely related', 'sperm whale are more closely related to killer whales than was previously thought']",0
54,54,"['to discuss the latest trends in the photography shows', 'to find out why some of her work was not selected for a show', 'to discuss how to get her photographs exhibited', 'to find out about a student photography show on campus']","['to illustrate the high density of salt marsh soil', 'to explain how spartina rhizomes move through the soil', 'to point out the problems spartinas face in getting fresh water', 'to provide evidence that oxygen is present in the spartina s roots']",0
55,55,"['to discuss the latest trends in the photography shows', 'to find out why some of her work was not selected for a show', 'to discuss how to get her photographs exhibited', 'to find out about a student photography show on campus']","['they based their beliefs on earlier observations by chinese astronomers', 'the idea was contrary to their beliefs about objects in space', 'the sunspots often changed their shape', 'the sunspots were not always visible']",0
56,56,"['it has plans to start bottling milk in opaque containers', 'some of its employees attended the university', 'employees there might be able to provide useful information', 'he worked there before joining the university faculty']","['by taking photographs that fit with current trends', ""by following one's own artistic views"", 'by consulting experienced photographers', 'by learning what gallery owners are interested in']",0
57,57,"['ancient tree ring data can only be obtained from dead trees', 'the climate in an area tends to remain constant over time', 'rainfall has a limited impact on water flowing in rivers', 'width of tree rings can correspond to the amount of moisture in an area']","['by taking photographs that fit with current trends', ""by following one's own artistic views"", 'by consulting experienced photographers', 'by learning what gallery owners are interested in']",0
58,58,"['they do not hide from humans', 'they reside in many regions throughout north america', 'they are active in open areas during the day', 'their burrows are easy to locate']","['it is usually technically stronger than work created for a class', 'it tends to be more interesting than class work', 'it faces increased pressure to be trendy', 'it is more likely to be exhibited than is work created for a class']",0
59,59,"['to illustrate its importance to the success of a pedestrian mall', 'to explain why pedestrian malls are so appealing to the shoppers', 'to point out how a pedestrian mall looks different from other malls', 'to show how the design is more important than the location']","['it is usually technically stronger than work created for a class', 'it tends to be more interesting than class work', 'it faces increased pressure to be trendy', 'it is more likely to be exhibited than is work created for a class']",0
60,60,"['typical features of the snowshoe hare that do not result from adaptation', 'various strategies used by snowshoe hares to find food during the winter', 'characteristics that snowshoe hares have developed in response to their environment', 'interactions between snowshoe hares and human populations in the state of maine']","['share examples of their work with others', 'hire a professional agent to sell their work', 'display their work in places other than gallery', 'ask a professor to recommend their work to gallery owners']",0
61,61,"['the degree of slope of the sides of the dunes', 'the presence of clay and silt particles in the dunes', 'the position of the dunes relative to the wind and rain', 'the narrowness of the valleys between the dunes']","['share examples of their work with others', 'hire a professional agent to sell their work', 'display their work in places other than gallery', 'ask a professor to recommend their work to gallery owners']",0
62,62,"['they said the change made the food less tasty', 'they said the change made the food less oily', 'they asked for information about the new oil', 'they stopped buying fried foods']","['to purchase a book by jane bowles', 'to find out which books he need for a course', 'to return a book that was originally assigned for a course', 'to find out how to order a book for a course']",0
63,63,"['to point out that the botai people sometimes did not have enough food', 'to compare the physical features of domesticated and wild horse', 'to prove that the horses of the botai people were domesticated', 'to emphasize that horse milk was popular in some ancient societies']","['to purchase a book by jane bowles', 'to find out which books he need for a course', 'to return a book that was originally assigned for a course', 'to find out how to order a book for a course']",0
64,64,"['books that are not for a specific course will receive a store credit instead of a refund', 'course textbooks can be returned for a full refund early in the school semester', 'all books must be returned within two weeks to be eligible for a full refund', 'only books that are in new condition will get a full refund']","['they do not reveal information about horse domestication', 'they are very different from the bones of modern horses', 'they date to the period when the botai people had become nomads', 'they suggested that horses were first domesticated by another ancient people']",0
65,65,"['books that are not for a specific course will receive a store credit instead of a refund', 'course textbooks can be returned for a full refund early in the school semester', 'all books must be returned within two weeks to be eligible for a full refund', 'only books that are in new condition will get a full refund']","['to clarify a common misunderstanding', 'to show in what way earth is similar to a watch', ""to emphasize the regularity of earth's movements"", 'to connect the concepts of orbits and time']",0
66,66,"['there is not enough time left in the semester', 'not all of the students were able to get a copy of the book', 'the professor miscalculated the difficulty level of the bool', 'the book was not on the course syllabus']","['to describe the main focus of the work she needs help with', 'to tell the man about a new research area in ethnology', 'to explain what dean adams chose to work on in indonesia', ""to demonstrate how varied dean adams'sresearch has been""]",0
67,67,"['there is not enough time left in the semester', 'not all of the students were able to get a copy of the book', 'the professor miscalculated the difficulty level of the bool', 'the book was not on the course syllabus']","['to explain why it took neel a long time to find her characteristic style', 'to explain why neel experimented with genres other than portraiture', ""to identify elements of realism and expressionism in neel's paintings"", ""to emphasize a distinctive feature of neel's body of work""]",0
68,68,"['it is worth reading', 'it focuses on a serious topic', 'she is not familiar with it', 'she read it for a literature class']","['the population reached 1 billion', 'the anthropocene epoch was first described', ""industrialization began to influence earth's environment"", 'there was a significant change in the amount of sediment deposited around the world']",0
69,69,"['it is worth reading', 'it focuses on a serious topic', 'she is not familiar with it', 'she read it for a literature class']","['women gained more confidence in their artistic abilities', 'women became instructors in private art studios', 'women were able to sell their paintings for large amounts of money', 'women created new styles of painting']",0
70,70,"['to indicate that the spice trade became mere direct', 'to explain why the price of pepper suddenly increased', 'to indicate that spices were not available in europe for centuries', 'to explain why the origins of spices became more mysterious']","['they solve a long standing mystery involving fossil evidence', 'they contain significant errors', 'they present evidence that conflicts with fossil evidence', 'the findings of the various studies should not have surprised researchers']",0
71,71,"['consult with her advisor about her class schedule', ""check with the registrar's office about the location of the class"", 'register for her classes early', 'call the physics department']","['they solve a long standing mystery involving fossil evidence', 'they contain significant errors', 'they present evidence that conflicts with fossil evidence', 'the findings of the various studies should not have surprised researchers']",0
72,72,"['the best methods for preserving samples of onion cells', 'the differences between onion cells and other plant cells', 'the process of cell division in an onion', 'the different ways that onion cells can be diagrammed']","['all modern whales descend from sperm whales', 'differences among toothed whales are less significant that was previously thought', 'not all toothed whales are closely related', 'sperm whale are more closely related to killer whales than was previously thought']",0
73,73,"['all modern whales descend from sperm whales', 'differences among toothed whales are less significant that was previously thought', 'not all toothed whales are closely related', 'sperm whale are more closely related to killer whales than was previously thought']","['to discuss her favorite pedestrian mall to visit', 'to illustrate how a pedestrian mall can overcome financial difficulties', 'to give an example of a typical , american pedestrian mall', 'to show how poor planning can affect the success of a pedestrian mall']",0
74,74,"['potatoes were more nourishing than native irish food crops', 'potatoes grew better at higher altitudes than native irish crops', 'political leaders in ireland encouraged the cultivation of potatoes', 'people in ireland were not aware that potatoes are members of the nightshade family']","['recent fossil evidence connecting whales and the hippopotamus', 'difficulties in the determining the evolutionary history of whales', 'similarities among ancient ancestors of whales', 'similarities between whales and other modern day animals']",1
75,75,"['purchase a card', 'obtain permission', 'put on gloves', 'try interlibrary loan first']","['recent fossil evidence connecting whales and the hippopotamus', 'difficulties in the determining the evolutionary history of whales', 'similarities among ancient ancestors of whales', 'similarities between whales and other modern day animals']",0
76,76,"['the best methods for preserving samples of onion cells', 'the differences between onion cells and other plant cells', 'the process of cell division in an onion', 'the different ways that onion cells can be diagrammed']","['it had an elongated skeletal structure', 'it strongly resembled a modern hippopotamus', 'it had an unusually kind and thin tail for a whale', 'it had limbs that could have been used for walking']",0
77,77,"['she was embarrassed because she gave an incorrect answer', 'she was upset because the professor seemed to ignore her', ""she was confused by the organization of the professor's lecture"", 'she was surprised by the comments of the other students']","['it had an elongated skeletal structure', 'it strongly resembled a modern hippopotamus', 'it had an unusually kind and thin tail for a whale', 'it had limbs that could have been used for walking']",0
78,78,"['he thinks that sharing a room is a good way to find out about other clubs', 'he considers a semiprivate room to be acceptable', 'he is concerned that there will not be enough storage space in a semiprivate room', 'he is surprised that there are not enough private rooms for all the clubs']","['it fills a gap in the fossil evidence for whale evolution', 'it has become less significant since the discovery of basilosaurus', 'it call into doubt the theory that whale evolved from land mammals', 'it suggests that whales evolved more recently than was previously believed']",0
79,79,"['the ability to make inferences according to the gricean maxims', 'the ability to effectively distinguish truth from falsehood', 'the willingness to acknowledge that a gricean maxim has been violated', 'the willingness to ignore the gricean maxims on occasion']","['it fills a gap in the fossil evidence for whale evolution', 'it has become less significant since the discovery of basilosaurus', 'it call into doubt the theory that whale evolved from land mammals', 'it suggests that whales evolved more recently than was previously believed']",0
80,80,"['similarities between hippopotamus fossils and the ambulocetus fossil', 'similarities in the genes of hippopotamuses and whales', 'similarities in the habitats of modern hippopotamuses and ancient whales', 'similarities in the skeletal structures of modern hippopotamuses and ancient whales']","['a book that the man is trying to find in the library', 'a book that the man already returned to the library', 'a book that the man is using to write his senior thesis', 'a book that the man lent to his sociology professor']",0
81,81,"['similarities between hippopotamus fossils and the ambulocetus fossil', 'similarities in the genes of hippopotamuses and whales', 'similarities in the habitats of modern hippopotamuses and ancient whales', 'similarities in the skeletal structures of modern hippopotamuses and ancient whales']","['music had the power to help create the future leaders of a society', 'music needed to be constantly evolving to keep up with social change', 'music distracted attention from social problems', ""music's primary purpose was entertainment""]",0
82,82,"['to describe the trade in food crops between europe and americas', 'to describe the introduction of american food crops to europeans', 'to describe the influence of american food crops on traditional europeans', 'to describe the difficulties of growing american food crops in european climates']","[""to identify a behavior that would show a child's imagination developing"", 'to identify a behavior that might illustrate egocentric thinking', 'to give an example of a behavior he has observed', 'to give an example of a behavior he would not need to describe']",0
83,83,"['to describe the trade in food crops between europe and americas', 'to describe the introduction of american food crops to europeans', 'to describe the influence of american food crops on traditional europeans', 'to describe the difficulties of growing american food crops in european climates']","['they act more predictably than other characters', 'they are difficult for readers to understand', ""they help reveal the main character's personality"", 'they are the only characters able to experience defeat']",0
84,84,"['to point out similarities in the behavior of rodents and monkeys', 'to explain how she first became interested in animal communication', 'to introduce an instance of an animal species that might have language', 'to show how she applied her knowledge of linguistics in another course']","['they grow best in mediterranean climates', 'their leaves are high in nutritional value', 'they were mistakenly believed to be related to potatoes', 'they are dangerous when eaten by human beings']",0
85,85,"['they grow best in mediterranean climates', 'their leaves are high in nutritional value', 'they were mistakenly believed to be related to potatoes', 'they are dangerous when eaten by human beings']","['how beavers select the ecosystem where they live', 'how ecosystem differ form on another', 'the impact of human activities on an ecosystem', 'the role of one species in an ecosystem']",0
86,86,"['he will be doing research in the open ocean', 'he will be teaching visitors about the displays at the aquarium', 'he will be writing a report about the regional center for marine research', 'he will be spending more time in the classroom']","['it was typical of his unconventional way of thinking', 'it helped to advance his political career', 'it changed the eating habits of north americans', 'it helped to make tomatoes popular in europe']",0
87,87,"['when the object has decomposed over time', 'when the object is older than the site at which it was found', 'when the object is found in the lowest soil layer of a site', 'when the object was broken during excavation']","['it was typical of his unconventional way of thinking', 'it helped to advance his political career', 'it changed the eating habits of north americans', 'it helped to make tomatoes popular in europe']",0
88,88,"['some astronomical bodies emit radio waves but not visible light', 'radio wanes provide more information about star composition than visible light waves do', 'radio waves can be defected with simple equipment', 'radio wanes can pass through panicles in space']","['it had a negative effect on the nutritional intake of people living near the mediterranean sea', 'it contributed to a shift in the balance of power from southern europe to northern europe', 'it encouraged the development of new types of cuisine in southern europe', 'it led to the failure of many native european grain crops']",0
89,89,"['it had a negative effect on the nutritional intake of people living near the mediterranean sea', 'it contributed to a shift in the balance of power from southern europe to northern europe', 'it encouraged the development of new types of cuisine in southern europe', 'it led to the failure of many native european grain crops']","['the data were recorded on old instruments', 'the recorded data and human observation did not match', 'there were gaps in the recorded data', 'the data did not reflect the historical changes in the flow of the colorado river']",0
90,90,"['they can be either right handed or left handed', 'they were synthesized through abiotic processes', 'they all have a crystalline structure', 'they are all left handed']","['potatoes were more nourishing than native irish food crops', 'potatoes grew better at higher altitudes than native irish crops', 'political leaders in ireland encouraged the cultivation of potatoes', 'people in ireland were not aware that potatoes are members of the nightshade family']",0
91,91,"['potatoes were more nourishing than native irish food crops', 'potatoes grew better at higher altitudes than native irish crops', 'political leaders in ireland encouraged the cultivation of potatoes', 'people in ireland were not aware that potatoes are members of the nightshade family']","['it is easy for people to lose sight of their true path', 'most people are not capable of deciding which path is best for them', 'the path a person takes can only be seen clearly after the destination has been reached', 'a person should establish a goal before deciding which path to take']",0
92,92,"['to explain the origins of the method of mbwa', 'to demonstrate that mbwa can be useful outside the business world', 'to provide an example of mbwa can sometimes fa il', 'to give an example where market research and mbwa provide similar types of information']","['sediment on the ocean floor contains more nitrogen than phosphorus', 'the atmosphere contains more nitrogen than phosphorus', 'nitrogen requires more time to get recycled than phosphorus does', 'phosphorus is more important than nitrogen to the development of fish']",0
93,93,"['sediment on the ocean floor contains more nitrogen than phosphorus', 'the atmosphere contains more nitrogen than phosphorus', 'nitrogen requires more time to get recycled than phosphorus does', 'phosphorus is more important than nitrogen to the development of fish']","['operas became much longer', 'operas begin to express secular ideas', 'music in opera became more complex', 'opera was used to teach technology to the general public']",0
94,94,"['similarities between hippopotamus fossils and the ambulocetus fossil', 'similarities in the genes of hippopotamuses and whales', 'similarities in the habitats of modern hippopotamuses and ancient whales', 'similarities in the skeletal structures of modern hippopotamuses and ancient whales']","['to discuss environment phenomena that have changed the phosphorus cycle', 'to illustrate how interrupting the phosphorus cycle can affect the environment', 'to describe how phosphorus ends up in the atmosphere', 'to explain how phosphorus gets recycled in the environment']",0
